codepoints	group	advance	drawn	edge	note
0061	single	1	1	0.00	ascii
03A9	single	1	1	0.00	greek
00F1	single	1	1	0.00	latin-1 precomposed
2192	single	1	1	0.00	east asian ambiguous
6F22	single	2	2	0.00	east asian wide
FF21	single	2	2	0.42	fullwidth
FF71	single	1	1	0.00	halfwidth katakana
D55C	single	2	2	0.42	hangul syllable
2588	single	1	1	0.08	block
2500	single	1	1	0.17	box drawing (soft: edge cell is 0.17 of a cell)
FDFA	single	1	2	0.00	arabic ligature
1F44D	emoji	2	2	0.08	emoji presentation, wide
231A	emoji	2	2	0.00	emoji presentation, wide
2705	emoji	2	2	0.17	emoji presentation, wide (soft: edge cell is 0.17 of a cell)
263A	emoji	1	1	0.00	text presentation, narrow
2764	emoji	1	1	0.00	text presentation, narrow
1F3F3	emoji	1	2	0.00	no presentation, narrow
2691	emoji	1	2	0.33	no presentation, narrow (soft: edge cell is 0.33 of a cell)
263A+FE0F	variation	1	2	0.00	narrow base + VS16
2764+FE0F	variation	1	2	0.00	narrow base + VS16
1F3F3+FE0F	variation	1	2	0.00	narrow base + VS16
2691+FE0F	variation	1	2	0.33	narrow base + VS16 (soft: edge cell is 0.33 of a cell)
1F44D+FE0F	variation	2	2	0.08	wide base + VS16
231A+FE0F	variation	2	2	0.00	wide base + VS16
263A+FE0E	variation	1	2	0.33	narrow base + VS15 (soft: edge cell is 0.33 of a cell)
1F44D+FE0E	variation	2	4	0.50	wide base + VS15
1F468+200D+1F469	joined	4	4	0.17	wide first, two parts (soft: edge cell is 0.17 of a cell)
1F468+200D+1F469+200D+1F467	joined	2	2	0.08	wide first, three parts
1F468+200D+1F469+200D+1F467+200D+1F466	joined	2	2	0.08	wide first, four parts
1F469+200D+1F4BB	joined	2	2	0.00	wide first, two parts
1F469+200D+1F680	joined	2	2	0.08	wide first, two parts
1F3F3+FE0F+200D+1F308	joined	1	2	0.00	narrow first, selector, two parts
1F3F3+FE0F+200D+26A7+FE0F	joined	1	2	0.00	narrow first, two selectors
2764+FE0F+200D+1F525	joined	1	2	0.00	narrow first, selector, two parts
1F441+FE0F+200D+1F5E8+FE0F	joined	1	2	0.42	narrow first, two selectors
1F43B+200D+2744+FE0F	joined	2	2	0.00	wide first, narrow second
0061+200D+0062	joined	2	2	0.00	letters either side of a joiner
200D	joined	1	1	0.33	a joiner on its own (soft: edge cell is 0.33 of a cell)
1F44D+1F3FD	modifier	2	2	0.00	skin tone
1F469+1F3FF+200D+1F4BB	modifier	2	2	0.00	skin tone inside a joined pair
0031+20E3	enclosing	1	2	0.00	keycap without a selector
0031+FE0F+20E3	enclosing	1	2	0.17	keycap with a selector (soft: edge cell is 0.17 of a cell)
0061+20DD	enclosing	2	2	0.08	combining enclosing circle
0061+0488	enclosing	2	2	0.00	combining cyrillic sign
1F1FA	flag	1	2	0.00	one indicator
1F1FA+1F1F8	flag	1	2	0.00	two indicators
1F1FA+1F1F8+1F1EF	flag	2	3	0.00	three indicators
1F1FA+1F1F8+1F1EF+1F1F5	flag	2	3	0.00	four indicators
1F3F4+E0067+E0062+E0073+E0063+E0074+E007F	flag	2	2	0.00	tag sequence
0065+0301	marks	1	1	0.00	one nonspacing mark
0065+0301+0302	marks	1	1	0.00	two nonspacing marks
0065+0301+0302+0303+0304	marks	1	1	0.00	four nonspacing marks
0915+094D+0937	indic	1	2	0.33	devanagari conjunct (soft: edge cell is 0.33 of a cell)
0915+094D+0937+093F	indic	2	3	0.33	conjunct plus a spacing vowel (soft: edge cell is 0.33 of a cell)
0915+093F	indic	2	3	0.33	consonant plus a spacing vowel (soft: edge cell is 0.33 of a cell)
0915+094B	indic	2	2	0.08	consonant plus a two part vowel
0BA8+0BBF	indic	1	2	0.25	tamil na plus a vowel (soft: edge cell is 0.25 of a cell)
0BA8+0BCB	indic	3	3	0.00	tamil na plus a two part vowel
0995+09CD+09B7	indic	1	2	0.08	bengali conjunct
0C15+0C4D+0C37	indic	1	1	0.00	telugu conjunct
0E01+0E33	thai	3	3	0.00	ko kai plus sara am
0E01+0E33+0E33	thai	5	5	0.00	ko kai plus two sara am
0E01+0E48	thai	1	1	0.00	ko kai plus a tone mark
0E01+0E34+0E48	thai	1	1	0.00	ko kai, vowel, tone
0EA5+0EB2	lao	2	2	0.00	lo loot plus a vowel
1100+1161	hangul	2	2	0.42	lead and vowel
1100+1161+11A8	hangul	2	2	0.42	lead, vowel and tail
